,Clean_Text,Class
831,tak terkirakan keterkejutan orang orang ketika melihat sosoknya yang sangat cantik,terkejut
991,mendengar perkataan putranya itu sunan ambu terkejut,terkejut
790,aku malu sekali itu sebabnya aku menangis itik itu menangis kembali seperti tadi,sedih
456,penonton bersorak riang dan tepuk tangan dari semua penonton,senang
508,mulanya aku ingin tertawa mendengar ucapannya,senang
378,ayo kita pergi ke kolam dan bersenang senang kata george,senang
163,bercerminlah dahulu dirimu hei kleting kuning jangan sampai ande ande lumut yang tampan itu menjadi muak ketika melihat wujudmu yang menyedihkan itu,jijik
47,sang gabus tidak melepaskan gigitannya malah dia dengan kuat menggigit leher sang kuntul hingga putus sambil berkata kau mencoba menipu kami kini rasakan akibatnya,marah
986,seekor induk pipit yang sedang memberi makan kepada anak anaknya terkejut,terkejut
61,la pun marah kepada anak laki iakinya dasar anak ikan ucapnya tanpa disadari,marah
618,purbasari keluar dari gubuk dengan gembira,senang
636,ibu bawah putih meninggal dunia karena sakit,sedih
672,dengan perasaan sangat sedih ia pun melanjutkan perjalanan,sedih
914,sang suami sangat keheranan mendapati keanehan itu,terkejut
659,raja badak pun sedih memikirkan nasib rakyatnya,sedih
611,orang makin senang mereka tertawa tawa,senang
402,ia pun tersenyum senang melihat rumahnya,senang
867,esoknya saat penduduk melihat keadaan maldonado mereka terkejut melihat maldonado masih sehat dan bugar walau semalaman terikat,terkejut
473,masyarakat kelekak remban bersuka cita setelah mengetahui telah tewasnya garude di tangan putri pinang gading,senang
609,putri endahwarni juga tampak senang melihat calon suaminya yang sangat gagah dan tampan,senang
997,pada suatu hari beliau duduk di gua hira dan tiba tiba beliau dikagetkan dengan kedatangan jibril yang berdiri di depan pintu gua,terkejut
662,suatu kali setelah tiga hari berburu dan persediaan makanannya menipis sergevan belum mendapatkan seekor rusa pun,sedih
167,ternyata bau itu adalah tumpukan daging hasil perburuan beberapa serigala,jijik
711,si murid pun meminta maaf atas kebodohannya,sedih
576,hou i sangat senang mendapatkan pil tersebut,senang
502,raja tersenyum senang dan mengangguk angguk,senang
34,sejak saat itu burung gagak dan burung hantu selalu bermusuhan,marah
375,kalau begitu namamu rumpelstilskin jawab ratu tersenyum,senang
427,panglima wire menepuk pundak caadara ayah benar benar bangga padamu kelak kau akan jadi panglima perang yang hebat,senang
865,matanya terbelalak ketika ia melihat kulomang telah menantinya si situ,terkejut
114,bulan diam ia sangat kesal,marah
525,jhi ge phu sangat gembira dia pun menghampiri putri naga yang tidak bisa berpura pura lagi,senang
988,betapa kaget hatinya setelah melihat isi bumbung itu,terkejut
480,seluruh warga menyambut kemenangan itu dengan sangat gembira,senang
738,saya telah kehilangan semua yang saya miliki uang ladang kuda anak anakku,sedih
836,ditebarnya biji itu sungguh ajaib hutan berubah menjadi ladang mentimun yang lebat buahnya,terkejut
1,bujang kelana akan menantang pendekar katung untuk menyabung ayam,marah
269,mereka percaya siapa pun juga yang nekat memasuki hutan itu akan berakhir dengan kematiannya karena dimangsa makhluk makhluk gaib yang menyeramkan itu,takut
311,tapi mereka menjadi sangat takut karena pada ulang tahun timun mas yang ke sang raksasa datang kembali,takut
648,sang domba itu menyesali perbuatannya dan domba kecil itupun berjanji tidak akan mengulanginya,sedih
295,istana putri bisu jika dilihat dari dekat ternyata sangat mengerikan karena dindingnya dibangun dari tulang belulang manusia,takut
737,oh celakalah anakku kata ayah akim dengan sedih,sedih
292,pasti pilt ketakutan ketika orang orang dewasa itu beramai ramai hendak menangkapnya,takut
970,mereka kaget ketika tiba tiba melihat suatu pemandangan aneh tapi nyata di suatu lorong,terkejut
195,akulah orang itu karena setelah menjahit mayat yang terpotong,jijik
565,sesampainya di rumahnya putri melati wangi disambut gembira oleh keluarganya yang mengira putri melati wangi sudah meninggal dunia,senang
405,raja pun senang karena sekarang ia menjadi lebih kaya,senang
57,aduhh anjing nakal kau makan semua singkong rebusku teriak si lebai kesal,marah
589,perasaannya gembira sekali karena belum pernah dia mendapat ikan sebesar itu,senang
433,akhirnya setelah menunggu bertahun tahun raja mendapat kabar bahagia bahwa permaisurinya telah hamil,senang
876,jika asapnya mengarah ke singapura tiba tiba terdapat tumpukan emas dan berlian,terkejut
632,ratu cik sima tak kuasa menahan sesal dan kesedihan atas kehilangan putri putrinya,sedih
455,raja babi sangat senang karena tidak ada yang sanggup melawannya,senang
344,sang putri sangat asyik dengan acara tersebut tak terasa hari sudah lewat tengah malam,senang
549,raja dan ratu sangat menyayanginya seperti anak kandung sendiri,senang
519,dahulu kala ada seorang wanita tua yang sangat sangat gembira dan selalu penuh dengan sukacita walaupun hampir tidak memiliki apa apa dan dia sudah tua miskin dan tinggal sendirian,senang
994,akan tetapi ia dan rombongan terkejut sebab disamping huma yang dibuka para prajurit telah ada pula huma lain yang lebih bagus,terkejut
912,tiba tiba muncul seekor ular yang sangat besar di tempat sang kakek semula berada,terkejut
99,akhirnya orang tua akim mengetahui kehadiran akim di pesta itu mereka marah dan menyuruh akim untuk segera pulang,marah
801,kabar kematiannya tiba tiba tersebar dan sangat memilukan hati orang orang yang mendengarnya sehingga kabar itu sampai ke istrinya,sedih
