,Clean_Text,Class
506,hari itu menjadi hari yang penuh kegembiraan dan safia pergi berterima kasih kepada wanita bijaksana yang tinggal di rongga pohon,senang
440,toba sangat gembira karena ternyata ada ikan besar yang tersangkut ikan itu mempunyai sisik sangat indah berwarna keemasan,senang
326,kebingungan ketakutan dan rasa kesal membuat putri bungsu tidak berdaya,takut
181,haha dasar cinderella bodoh kau tinggal di rumah selama kami pergi bersihkan semua ruangan cuci piring dan baju dan kamu sangat jelek,jijik
957,kakek terkejut mendengar permintaan istrinya dia mencoba menolaknya,terkejut
129,raja sangat marah hai para pengawal cari dan temukanlah puteri kuning teriaknya,marah
370,melihat hal tersebut raja sangat senang,senang
474,kedua anak itu benar benar gembira mendapati diri mereka berada di ketinggian yang membuat keduanya dapat memandang daerah daerah yang luas,senang
782,sebaliknya rakyat kecil para petani dan mereka yang menderita amat sedih,sedih
591,syukur anak pertamaku sudah lahir kata ayahnya dengan gembira,senang
350,ia sangat senang karena mendapatkan labu yang lebih besar dari bawang putih,senang
411,tetangga petani sangat senang dan ia pun pergi ke ladang,senang
172,pergi aku tidak suka makanan kampung orangtuaku adalah seorang saudagar kaya bukan gembel seperti kalian seru sang anak sambil membuang makanan pemberian ibunya,jijik
103,sementara sang putri sangat kesal karena telah dua kali keceplosan,marah
0,pangeran empang kuala murka mendengar pinangannya ditolak,marah
522,ia begitu terpesona melihat patung wanita cantik berpakaian indah tersebut,senang
706,putri aji bedarah putih sangat sedih mendapati kekuatan pendukungnya mampu diporakporandakan para prajurit cina,sedih
331,para prajurit yang ketakutan segera berangkat ke hutan dan langsung bekerja keras membuka hutan,takut
71,gagak marah mendengar ejekan rubah la mengeluarkan suara keras kaak,marah
707,putri aji bedarah putih kesulitan menemukan cara untuk mengalahkan para prajurit cina itu ia hampir putus asa,sedih
402,ia pun tersenyum senang melihat rumahnya,senang
225,jika ia bisa menjatuhkan badak dan menghancurkan gajah aku pasti dengan mudah dibunuhnya pikir kelinci,takut
235,mereka semua takut kepada singa,takut
639,bawah putih sangat sedih,sedih
578,baiklah kuberi nama ia kemuning kata raja dengan senang,senang
508,mulanya aku ingin tertawa mendengar ucapannya,senang
439,diadakanlah pesta pernikahan yang megah dan meriah yang dilangsungkan selama tujuh hari tujuh malam dan mereka hidup bahagia selamanya,senang
913,amat terperanjat warga desa setelah mengetahui di dalam rumah peristirahatan yang dibangun raja itu terdapat sekumpulan ular,terkejut
555,ah alangkah bahagianya kedua ikan ini mereka pastilah sepasang kekasih yang saling mencintai sebentar lagi akupun akan sebahagia mereka pikir putri sambil tersenyum kecil,senang
245,melihat sang anjin itik abu pun ketakutan karena ia takut di makan olehnya,takut
779,ciput menjawab sedih bahwa pak sarba sudah meninggal dunia,sedih
51,dengan penuh amarah penghuni rumah mengambil sapu lalu memukul sang kucing desa sang kucing desa merasa ketakutan dengan kelakuan penghuni rumah dia berlari menjauh darinya,marah
826,angin badai datang tiba tiba dan menghantam kapal besar milik malin kundang itu,terkejut
222,lehermu akan dipenggal algojo kerajaan setelah ayam jagomu kalah,takut
861,petani kaget melihat istrinya berada dalam lubang perangkap,terkejut
329,para putri dan wanita wanita bangsawan menjerit ketakutan,takut
863,sebenarnya rusa terkejut mendengar jawaban kulomang tapi ia tertawa dalam hati,terkejut
87,raja bayang pun sangat marah dengan penolakkan raja hasan wajahnya pun berubah menjadi merah terbakar,marah
417,sang anjing tersenyum bahagia karena dia telah menemukan makanan,senang
476,pada saat bersamaan seorang gadis bisu dan tuli tertawa terpingkal pingkal melihat tingkah jack,senang
981,anteh terkejut ketika tiba tiba di hadapannya muncul pemuda yang tidak dikenalnya,terkejut
643,tak terkirakan kepedihan hati mande rubayah mendapati perlakuan keji anak kandungnya,sedih
816,tiba tiba putrinya yang cantik terseret ke dalam lumpur,terkejut
964,mendengar suara dedaunan para putri terkejut dan segera mengambil selendang masing masing,terkejut
4,akhirnya karena merasa kesal setelah lima hari nenek menyuruh bawang merah pulang tanpa memberi hadiah labu,marah
180,kakak kakaknya yang sangat jahat memanggilnya cinderella yang artinya gadis yang sangat kotor menurut mereka itu adalah panggilan yang cocok untuk cinderella,jijik
424,pesta pemikahan antara si penyumpit dan putri pak raje dilaksanakan dengan meriah,senang
800,purbararang menangis dan minta maaf kepada purbasari,sedih
884,ketika mereka sudah tinggal di pondok itu tiba tiba tersiar kabar bahwa bendahara mengambil alih kedudukan baginda raja betapa terkejutnya permaisuri mendengar berita tersebut,terkejut
90,dengan penuh kejengkelan berteriaklah manuella sambil memandang pohon itu,marah
187,dari kepala istrinya ia melihat asap yang muncul dan kemudian diikuti dengan keluarnya seekor lipan berwarna putih,jijik
586,oh akhirnya pulang juga si lancang seru emaknya dengan gembira,senang
653,ratu memohon dan menangis agar kurcaci tersebut tidak membawa putrinya,sedih
857,saudagar kaget dengan kecerdikan anaknya,terkejut
313,mereka bingung dan takut barangkali datang serangan kedua,takut
565,sesampainya di rumahnya putri melati wangi disambut gembira oleh keluarganya yang mengira putri melati wangi sudah meninggal dunia,senang
920,pak inda sangat terkejut karena letusan keras itu berasal dari rumahnya,terkejut
871,mendengar berita tersebut para ikan sangat terkejut mereka percaya dengan kebohongan sang kuntul,terkejut
240,namun babi sulung tetap bertahan di dalam rumah dengan ketakutan,takut
994,akan tetapi ia dan rombongan terkejut sebab disamping huma yang dibuka para prajurit telah ada pula huma lain yang lebih bagus,terkejut
177,hingga suatu hari mananamakrdi diusir oleh saudara saudaranya karena bau kudisnya sudah tak tertahankan lagi,jijik
465,orang yang dianggap sakti itu disambut gembira oleh rakyat jambi,senang
142,kekesalannya akhirnya memuncak ketika si limbat melaporkan pada majikannya bahwa daging persediaan mereka di rumah sudah hilang dicuri orang,marah
133,karena sudah terlalu lama tak ada yang memakan umpan pancingnya dia jadi kesal dan memutuskan untuk berhenti saja memancing,marah
140,setelah dayang sumbi mengetahui bahwa yang dimakannya adalah si tumang kemarahannya pun memuncak serta merta kepala sangkuriang dipukul dengan sendok yang terbuat dari tempurung kelapa sehingga luka dan diusirlah sangkuriang,marah
865,matanya terbelalak ketika ia melihat kulomang telah menantinya si situ,terkejut
925,i manyambungi sangat terkejut saat mendengar jawaban itu,terkejut
391,tuan pemilik androcles kagum mendengar cerita itu,senang
299,petir menyambar diiringi guntur yang menggelegar begitu putri mengucapkan doanya semua yang ada di situ menjerit ketakutan,takut
466,penduduk sangat gembira karena berhasil menemukan raja jambi yang sakti akhirnya kita mempunyai seorang raja yang sakti dan mampu memimpin negeri ini ujar salah satu penduduk girang,senang
204,darah segar mengalir dari kepala,jijik
475,paga hidup berbahagia bersama si biru dan puluhan bekas perompak yang kesemuanya telah dianggapnya sebagai sahabat,senang
311,tapi mereka menjadi sangat takut karena pada ulang tahun timun mas yang ke sang raksasa datang kembali,takut
134,oleh karena itu maka si ayah jadi sangat marah ketika melihat nasi yang diberikan kepadanya adalah sisa sisa,marah
91,nenek sangat marah mendengar pengakuan si burung pipit,marah
131,ketika is melihat tulang tulang rusa di piringnya dan di piring si bungkuk daging yang empuk bukan main marahnya,marah
