,jawaban_mahasiswa,jawaban_dosen,human_rater,human_rater_scaled
138,"['von', 'neumann', 'komputer', 'bagi', '4', 'utama', 'alu', 'unit', 'kontrol', 'memory', 'alat', 'masuk', 'hasil', 'kolektif', 'dianamakan', 'i', 'o']","['komputer', 'model', 'von', 'neumann', 'model', 'arsitektur', 'deskripsi', 'john', 'von', 'neumann', '1945', 'first', 'draft', 'of', 'a', 'report', 'on', 'the', 'edvac', 'model', 'arsitektur', 'jadi', 'basis', 'komputer', 'unit', 'pemrosesan', 'isi', 'alu', 'register', 'prosesor', 'unit', 'kontrol', 'isi', 'instruction', 'register', 'program', 'counter', 'memori', 'simpan', 'data', 'instruksi', 'simpan', 'eksternal', 'mekanisme', 'input', 'output']",90,0.9
141,"['komputer', 'von', 'neumann', 'bagi', '4', 'utama', 'alu', 'unit', 'kontrol', 'memory', 'i', 'o']","['komputer', 'model', 'von', 'neumann', 'model', 'arsitektur', 'deskripsi', 'john', 'von', 'neumann', '1945', 'first', 'draft', 'of', 'a', 'report', 'on', 'the', 'edvac', 'model', 'arsitektur', 'jadi', 'basis', 'komputer', 'unit', 'pemrosesan', 'isi', 'alu', 'register', 'prosesor', 'unit', 'kontrol', 'isi', 'instruction', 'register', 'program', 'counter', 'memori', 'simpan', 'data', 'instruksi', 'simpan', 'eksternal', 'mekanisme', 'input', 'output']",90,0.9
4,"['client', 'server', 'jaring', '2', 'buah', 'cliet', '1', 'server', 'jaring']","['client', 'server', 'jaring', 'komputer', 'model', 'komunikasi', 'belah', 'sedia', 'layan', 'data', 'server', 'guna', 'minta', 'layan', 'data', 'client', 'belah', 'komunikasi', 'hardware', 'beda', 'mesin', 'sistem']",40,0.4
52,"['client', 'server', 'jaring', 'komputer', 'perangkat', 'fungsi', 'tugas', 'data', 'perangkat', 'fungsi', 'tugas', 'data', 'minta', 'perangkat', 'client', 'perangkat', 'tugas', 'data', 'server', 'perangkat', 'tugas', 'data', 'minta', 'aju', 'client', 'client', 'data', 'client', 'server', 'kenal', 'download', 'upload', 'download', 'client', 'data', 'server', 'upload', 'client', 'data', 'server']","['client', 'server', 'jaring', 'komputer', 'model', 'komunikasi', 'belah', 'sedia', 'layan', 'data', 'server', 'guna', 'minta', 'layan', 'data', 'client', 'belah', 'komunikasi', 'hardware', 'beda', 'mesin', 'sistem']",100,1.0
100,"['mana', 'pc', 'simpan', 'data', 'memori', 'non', 'volatile', 'pc', 'hidup']","['hibernate', 'pc', 'fitur', 'mati', 'pc', 'sleep', 'fitur', 'tenaga', 'sleep', 'jaga', 'komputer', 'nyala', 'tenaga', 'hibernate', 'simpan', 'proses', 'jalan', 'secondary', 'memory', 'sleep', 'simpan', 'ram', 'komputer', 'alami', 'hilang', 'tenaga', 'komputer', 'nyala', 'ulang', 'beda', 'hibernate', 'lanjut', 'proses', 'mati', 'alami', 'hilang', 'tenaga', 'mati', 'kurang', 'hibernate', 'simpan', 'data', 'butuh', 'hibernate', 'storage', 'kurang', 'umur', 'ssd', 'cepat', 'proses', 'hidup', 'cepat', 'proses', 'sleep', 'baca', 'ram']",30,0.3
131,"['nama', 'model', 'von', 'neumann', 'ambil', 'cipta', 'nama', 'john', 'von', 'neumann', 'model', '4', 'sistem', 'garis', 'input', 'cpu', 'memory', 'output', 'cpu', 'bagi', 'alu', 'unit', 'control', 'input', 'cpu', 'output', 'memory', 'input', 'masuk', 'perintah', 'olah', 'output', 'hasil', 'input', 'olah', 'sistem', 'cpu', 'alu', 'arithmatic', 'logic', 'unit', 'sistem', 'atur', 'hitung', 'aritmatika', 'dalam', 'aljabar', 'boolean', 'unit', 'control', 'sistem', 'mudah', 'cpu', 'karna', 'sistem', 'meng', 'handle', 'kerja', 'perangkat', 'keras', 'pakai', 'atur', 'input', 'masuk', 'output', 'atur', 'mekanisme', 'ambil', 'data', 'memory', 'memory', 'sistem', 'simpan', 'proses', 'data', 'cpu']","['komputer', 'model', 'von', 'neumann', 'model', 'arsitektur', 'deskripsi', 'john', 'von', 'neumann', '1945', 'first', 'draft', 'of', 'a', 'report', 'on', 'the', 'edvac', 'model', 'arsitektur', 'jadi', 'basis', 'komputer', 'unit', 'pemrosesan', 'isi', 'alu', 'register', 'prosesor', 'unit', 'kontrol', 'isi', 'instruction', 'register', 'program', 'counter', 'memori', 'simpan', 'data', 'instruksi', 'simpan', 'eksternal', 'mekanisme', 'input', 'output']",100,1.0
88,"['2', 'hibernate', 'proses', 'mati', 'guna', 'daya', 'komputer', 'langsung', 'kondisi', 'memory', 'diprocess', 'ram', 'pindah', 'langsung', 'harddisk', 'guna', 'hibernate', 'makan', 'alokasi', 'memory', 'hard', 'disk', 'lumayan', 'untung', 'hibernate', 'jaga', 'utuh', 'file', 'beda', 'sleep', 'file', 'nya', 'simpan', 'ram', 'daya', 'masuk', 'data', 'hilang', 'efisien', 'kerja', 'komputer', 'nyala', 'data', 'kerja', 'harddisk', 'langsung', 'kembali', 'ram', 'hemat', 'shutdown', 'mati', 'komputer']","['hibernate', 'pc', 'fitur', 'mati', 'pc', 'sleep', 'fitur', 'tenaga', 'sleep', 'jaga', 'komputer', 'nyala', 'tenaga', 'hibernate', 'simpan', 'proses', 'jalan', 'secondary', 'memory', 'sleep', 'simpan', 'ram', 'komputer', 'alami', 'hilang', 'tenaga', 'komputer', 'nyala', 'ulang', 'beda', 'hibernate', 'lanjut', 'proses', 'mati', 'alami', 'hilang', 'tenaga', 'mati', 'kurang', 'hibernate', 'simpan', 'data', 'butuh', 'hibernate', 'storage', 'kurang', 'umur', 'ssd', 'cepat', 'proses', 'hidup', 'cepat', 'proses', 'sleep', 'baca', 'ram']",100,1.0
46,"['client', 'akses', 'sumber', 'daya', 'web', 'page', 'file', 'dll', 'server', 'perangkat', 'sedia', 'sumber', 'daya', 'layan', 'butuh', 'client']","['client', 'server', 'jaring', 'komputer', 'model', 'komunikasi', 'belah', 'sedia', 'layan', 'data', 'server', 'guna', 'minta', 'layan', 'data', 'client', 'belah', 'komunikasi', 'hardware', 'beda', 'mesin', 'sistem']",90,0.9
31,"['client', 'perangkat', 'jaring', 'komputer', 'paket', 'data', 'server', 'server', 'sedia', 'layan', 'server', 'data', 'data', 'akses', 'client']","['client', 'server', 'jaring', 'komputer', 'model', 'komunikasi', 'belah', 'sedia', 'layan', 'data', 'server', 'guna', 'minta', 'layan', 'data', 'client', 'belah', 'komunikasi', 'hardware', 'beda', 'mesin', 'sistem']",80,0.8
120,"['komputer', 'model', 'von', 'neumann', 'arsitektur', 'komputer', 'von', 'neumann', 'arsitektur', 'cipta', 'john', 'von', 'neumann', 'arsitektur', 'komputer', 'tempat', 'program', 'rom', 'read', 'only', 'memory', 'peta', 'memori', 'arsitektur', 'milik', 'adress', 'data', 'bus', 'tunggal', 'amat', 'program', 'instruksi', 'data']","['komputer', 'model', 'von', 'neumann', 'model', 'arsitektur', 'deskripsi', 'john', 'von', 'neumann', '1945', 'first', 'draft', 'of', 'a', 'report', 'on', 'the', 'edvac', 'model', 'arsitektur', 'jadi', 'basis', 'komputer', 'unit', 'pemrosesan', 'isi', 'alu', 'register', 'prosesor', 'unit', 'kontrol', 'isi', 'instruction', 'register', 'program', 'counter', 'memori', 'simpan', 'data', 'instruksi', 'simpan', 'eksternal', 'mekanisme', 'input', 'output']",60,0.6
